on_disk_filename,url_hash,original_filename,agency,part_number,is_dod,source_url,pdf_size_bytes
f62da12a4552cea7_CFTC_RFO_Deviation_Part-42.pdf,f62da12a4552cea7,CFTC_RFO_Deviation_Part-42.pdf,CFTC,42,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-42.pdf,328111
315fb46fe923c246_CFTC_RFO_Deviation_Part-43.pdf,315fb46fe923c246,CFTC_RFO_Deviation_Part-43.pdf,CFTC,43,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-43.pdf,278094
531c3bd2165a3419_CFTC_RFO_Deviation_Part-44.pdf,531c3bd2165a3419,CFTC_RFO_Deviation_Part-44.pdf,CFTC,44,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-44.pdf,318941
7036e972fd6ed602_CFTC_RFO_Deviation_Part-45.pdf,7036e972fd6ed602,CFTC_RFO_Deviation_Part-45.pdf,CFTC,45,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-45.pdf,292335
24da20dea1a023af_CFTC_RFO_Deviation_Part-46.pdf,24da20dea1a023af,CFTC_RFO_Deviation_Part-46.pdf,CFTC,46,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-46.pdf,294847
d1ea6b1522799c7f_CFTC_RFO_Deviation_Part-47.pdf,d1ea6b1522799c7f,CFTC_RFO_Deviation_Part-47.pdf,CFTC,47,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-47.pdf,330389
148e3a664b49c627_CFTC_RFO_Deviation_Part-48.pdf,148e3a664b49c627,CFTC_RFO_Deviation_Part-48.pdf,CFTC,48,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-48.pdf,312851
b09ec4b41656bd38_CFTC_RFO_Deviation_Part-49.pdf,b09ec4b41656bd38,CFTC_RFO_Deviation_Part-49.pdf,CFTC,49,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-49.pdf,294961
4f4a7d6ce3c44dec_CFTC_RFO_Deviation_Part-5-Supplement-1.pdf,4f4a7d6ce3c44dec,CFTC_RFO_Deviation_Part-5-Supplement-1.pdf,CFTC,5,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-5-Supplement-1.pdf,459761
c71ee09a3e5f2d5e_CFTC_RFO_Deviation_Part-50.pdf,c71ee09a3e5f2d5e,CFTC_RFO_Deviation_Part-50.pdf,CFTC,50,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-50.pdf,283917
7a119d0505871d69_CFTC_RFO_Deviation_Part-51.pdf,7a119d0505871d69,CFTC_RFO_Deviation_Part-51.pdf,CFTC,51,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-51.pdf,287170
acc96a1d6bf919d6_CFTC_RFO_Deviation_Part-53.pdf,acc96a1d6bf919d6,CFTC_RFO_Deviation_Part-53.pdf,CFTC,53,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-53.pdf,294778
52c005e3656b9554_CFTC_RFO_Deviation_Part-6.pdf,52c005e3656b9554,CFTC_RFO_Deviation_Part-6.pdf,CFTC,6,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-6.pdf,283379
4976b94de2cf672b_CFTC_RFO_Deviation_Part-7.pdf,4976b94de2cf672b,CFTC_RFO_Deviation_Part-7.pdf,CFTC,7,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-7.pdf,325181
7b77ca85d107cae4_CFTC_RFO_Deviation_Part-8-Supplement-1.pdf,7b77ca85d107cae4,CFTC_RFO_Deviation_Part-8-Supplement-1.pdf,CFTC,8,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-8-Supplement-1.pdf,472749
88a5798a3d824e2e_CFTC_RFO_Deviation_Part-9-Supplement-1.pdf,88a5798a3d824e2e,CFTC_RFO_Deviation_Part-9-Supplement-1.pdf,CFTC,9,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CFTC_RFO_Deviation_Part-9-Supplement-1.pdf,483512
8ae799dfb7777b2e_CPSC_RFO_Deviation_Part-1.pdf,8ae799dfb7777b2e,CPSC_RFO_Deviation_Part-1.pdf,CPSC,1,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-1.pdf,220768
e40becfc33db4bea_CPSC_RFO_Deviation_Part-10.pdf,e40becfc33db4bea,CPSC_RFO_Deviation_Part-10.pdf,CPSC,10,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-10.pdf,276360
81b0a5d7a4f87717_CPSC_RFO_Deviation_Part-11.pdf,81b0a5d7a4f87717,CPSC_RFO_Deviation_Part-11.pdf,CPSC,11,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-11.pdf,269663
935eda0e3ab3b526_CPSC_RFO_Deviation_Part-12.pdf,935eda0e3ab3b526,CPSC_RFO_Deviation_Part-12.pdf,CPSC,12,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-12.pdf,232593
f834835912aaa94e_CPSC_RFO_Deviation_Part-14.pdf,f834835912aaa94e,CPSC_RFO_Deviation_Part-14.pdf,CPSC,14,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-14.pdf,227013
eb0cad5bece8f82d_CPSC_RFO_Deviation_Part-15.pdf,eb0cad5bece8f82d,CPSC_RFO_Deviation_Part-15.pdf,CPSC,15,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-15.pdf,293138
4432e9003e41a115_CPSC_RFO_Deviation_Part-16.pdf,4432e9003e41a115,CPSC_RFO_Deviation_Part-16.pdf,CPSC,16,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-16.pdf,294195
510b948b3bb6491c_CPSC_RFO_Deviation_Part-17.pdf,510b948b3bb6491c,CPSC_RFO_Deviation_Part-17.pdf,CPSC,17,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-17.pdf,223442
6e246f011c82f48d_CPSC_RFO_Deviation_Part-19.pdf,6e246f011c82f48d,CPSC_RFO_Deviation_Part-19.pdf,CPSC,19,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-19.pdf,287110
b4b80c7079b01b1e_CPSC_RFO_Deviation_Part-22.pdf,b4b80c7079b01b1e,CPSC_RFO_Deviation_Part-22.pdf,CPSC,22,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-22.pdf,288661
a9248945db55a5b0_CPSC_RFO_Deviation_Part-23.pdf,a9248945db55a5b0,CPSC_RFO_Deviation_Part-23.pdf,CPSC,23,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-23.pdf,300892
e3df7f8f149e86cd_CPSC_RFO_Deviation_Part-24.pdf,e3df7f8f149e86cd,CPSC_RFO_Deviation_Part-24.pdf,CPSC,24,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-24.pdf,197020
7aebeb474768c145_CPSC_RFO_Deviation_Part-25.pdf,7aebeb474768c145,CPSC_RFO_Deviation_Part-25.pdf,CPSC,25,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-25.pdf,295931
6139f7ab9862a352_CPSC_RFO_Deviation_Part-26.pdf,6139f7ab9862a352,CPSC_RFO_Deviation_Part-26.pdf,CPSC,26,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-26.pdf,220078
c3840d19186338eb_CPSC_RFO_Deviation_Part-27.pdf,c3840d19186338eb,CPSC_RFO_Deviation_Part-27.pdf,CPSC,27,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-27.pdf,228445
a26a5b056efc1b96_CPSC_RFO_Deviation_Part-28.pdf,a26a5b056efc1b96,CPSC_RFO_Deviation_Part-28.pdf,CPSC,28,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-28.pdf,197588
34cf9efbc1705a62_CPSC_RFO_Deviation_Part-29.pdf,34cf9efbc1705a62,CPSC_RFO_Deviation_Part-29.pdf,CPSC,29,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-29.pdf,209266
d6bb6be69596baab_CPSC_RFO_Deviation_Part-30.pdf,d6bb6be69596baab,CPSC_RFO_Deviation_Part-30.pdf,CPSC,30,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-30.pdf,230360
38519e5cfca32faa_CPSC_RFO_Deviation_Part-31.pdf,38519e5cfca32faa,CPSC_RFO_Deviation_Part-31.pdf,CPSC,31,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-31.pdf,201212
82ac62694492652e_CPSC_RFO_Deviation_Part-32.pdf,82ac62694492652e,CPSC_RFO_Deviation_Part-32.pdf,CPSC,32,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-32.pdf,278617
4a43d1033fd46d67_CPSC_RFO_Deviation_Part-33.pdf,4a43d1033fd46d67,CPSC_RFO_Deviation_Part-33.pdf,CPSC,33,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-33.pdf,223460
2577d0c230ff0ea7_CPSC_RFO_Deviation_Part-34.pdf,2577d0c230ff0ea7,CPSC_RFO_Deviation_Part-34.pdf,CPSC,34,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-34.pdf,219073
1c1f23764f657476_CPSC_RFO_Deviation_Part-35.pdf,1c1f23764f657476,CPSC_RFO_Deviation_Part-35.pdf,CPSC,35,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-35.pdf,207072
bb188ef269d9bcc2_CPSC_RFO_Deviation_Part-36.pdf,bb188ef269d9bcc2,CPSC_RFO_Deviation_Part-36.pdf,CPSC,36,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-36.pdf,230470
64c7129baa563020_CPSC_RFO_Deviation_Part-37.pdf,64c7129baa563020,CPSC_RFO_Deviation_Part-37.pdf,CPSC,37,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-37.pdf,239138
4a4ed97a6cff50c9_CPSC_RFO_Deviation_Part-38.pdf,4a4ed97a6cff50c9,CPSC_RFO_Deviation_Part-38.pdf,CPSC,38,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-38.pdf,195332
d5422444fdd24ed8_CPSC_RFO_Deviation_Part-4.pdf,d5422444fdd24ed8,CPSC_RFO_Deviation_Part-4.pdf,CPSC,4,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-4.pdf,279655
bf8dc1cedb5b7695_CPSC_RFO_Deviation_Part-40.pdf,bf8dc1cedb5b7695,CPSC_RFO_Deviation_Part-40.pdf,CPSC,40,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-40.pdf,234868
994b43a42dc7dd36_CPSC_RFO_Deviation_Part-41.pdf,994b43a42dc7dd36,CPSC_RFO_Deviation_Part-41.pdf,CPSC,41,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-41.pdf,196856
3d8bef6f5dc39d96_CPSC_RFO_Deviation_Part-42.pdf,3d8bef6f5dc39d96,CPSC_RFO_Deviation_Part-42.pdf,CPSC,42,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-42.pdf,288494
59fc5065deaa376b_CPSC_RFO_Deviation_Part-44.pdf,59fc5065deaa376b,CPSC_RFO_Deviation_Part-44.pdf,CPSC,44,0,https://www.acquisition.gov/sites/default/files/page_file_uploads/CPSC_RFO_Deviation_Part-44.pdf,224573
